38.717,59.963
6.853,11.576
23.733,0
11.327,20.879
13.964,17.713
12.983,0
18.631,40.54
15.443,96.838
5.311,19.921
5.419,15.187
11.782,222.486
26.566,0
11.658,95.71
16.394,52.164
10.675,16.448
8.592,6.969
11.096,8.1
9.658,7.146
11.772,11.084
15.832,19.802
7.928,0
16.309,29.966
9.363,0
15.47,29.063
20.159,0
12.486,27.956
10.099,5.54
9.803,0
24.404,119.931
12.35,18.708
12.437,17.003
8.591,0
9.269,17.362
15.118,0
13.741,32.597
12.393,15.669
17.917,11.181
9.339,0
7.849,10.733
7.127,59.048
45.95,0
5.367,6.99
3.531,3.404
6.83,0
6.439,12.839
4.529,0
8.745,11.937
10.101,0
18.27,16.341
8.494,0
28.197,20.923
9.722,0
23.121,44.189
13.34,0
17.848,16.794
4.398,0
7.402,50.613
17.618,0
10.216,11.827
5.891,0
10.548,36.758
2.64,0
8.295,13.55
2.015,0
4.024,2.363
12.713,7.85
3.057,0
4.27,4.642
9.049,0
3.582,3.299
1.513,0
9.225,13.6
8.032,0
17.134,15.891
1.299,0
9.817,47.542
11.624,0
5.24,14.815
0.981,0
4.064,3.515
1.973,0
6.783,4.654
4.129,0
6.144,5.067
5.221,0
6.463,11.721
2.215,0
8.754,7.467
3.556,0
4.994,4.699
5.752,0
6.946,7.752
2.76,0
11.03,35.009
7.375,22.867
41.935,0
4.266,11.035
6.985,0
6.865,19.014
0.954,0
8.576,5.504
0.819,0
11.281,20.728
10.334,0
3.53,8.431
0.599,0
2.262,1.391
0.791,0
16.647,114.891
2.399,0
5.901,11.593
5.521,20.262
5.527,4.581
0.927,0
6.457,10.726
3.961,2.572
0.823,0
6,10.004
6.424,0
4.655,3.018
8.497,0
6.819,12.425
4.182,0
4.137,2.462
0.434,0
11.253,19.606
8.091,0
15.486,24.914
7.994,13.045
3.068,0
18.974,17.396
12.686,0
8.457,19.874
3.072,0
35.32,44.759
27.389,21.961
0.898,0
13.294,17.794
1.889,0
10.385,28.626
10.575,0
12.86,42.747
6.827,0
9.467,8.859
1.379,0
6.012,11.262
12.814,0
5.195,8.555
3.562,0
2.917,1.712
1.429,0
15.909,30.381
8.141,0
9.213,61.111
1.191,0
4.275,5.217
11.085,11.725
18.043,0
3.61,8.228
0.408,0
3.51,2.058
8.264,0
3.339,5.818
0.213,0
3.057,2.031
3.081,0
4.502,6.832
1.883,0
4.756,3.949
4.933,0
7.011,4.799
2.393,0
4.75,4.264
0.758,0
12.301,108.708
4.985,0
12.799,34.655
5.714,0
10.682,16.558
6.082,0
9.044,20.928
8.368,0
10.455,24.067
5.069,0
7.284,10.584
4.626,12.392
2.802,0
5.159,51.439
31.202,0
21.077,139.722
3.78,4.957
2.261,3.12
4.385,16.543
1.088,0
25.754,25.135
8.014,0
5.283,2.732
0.763,0
6.709,15.935
1.092,0
11.347,30.785
24.45,0
19.605,56.557
20.465,77.628
2.057,0
19.262,105.563
1.219,0
33.467,152.621
23.987,0
19.945,63.203
6.307,0
16.942,19.416
5.854,0
12.107,51.514
10.272,30.03
9.007,17.63
4.763,6.226
4.317,0
7.787,7.029
5.274,0
7.232,7.221
5.022,0
6.732,6.786
7.26,0
5.904,5.08
5.307,0
6.222,5.552
6.245,0
11.539,10.239
5.905,0
2.449,3.128
8.3,0
6.655,11.475
3.51,0
21.29,29.708
11.513,32.646
