3.647,0
0.601,0.305
0.306,0
0.954,0.475
2.11,0
0.757,1.387
2.23,0
0.744,1.096
2.094,0
1.16,1.555
2.386,0
1.38,0.647
2.089,0.895
1.377,0
1.18,1.172
1.816,0
0.573,0.442
0.684,0
0.69,0.36
0.334,0
1.947,1.197
1.513,0
0.309,1.576
0.371,0
0.661,0.862
0.459,0
0.835,1.007
0.35,0
0.716,0.887
2.26,0
0.594,0.956
2.048,0
1.32,2.379
2.132,0
0.708,0.779
1.099,0
0.417,0.609
0.825,5.985
0.524,0
0.614,0.802
1.166,0
2.093,2.084
2.389,0
1.227,2.943
2.19,1.498
0.824,2.685
1.506,1.191
0.539,0
1.613,4.965
1.309,2.315
1.12,0
0.843,1.247
1.445,0
1.65,1.917
1.689,0
1.347,1.709
2.122,0
1.209,1.603
1.298,0
0.406,0.522
0.566,0
0.892,1.188
0.532,0
0.887,1.237
0.396,0
1.306,2.031
2.206,0
1.701,3.026
1.98,0
0.723,0.947
0.699,0
0.929,0.946
0.901,0
0.819,0.988
1.688,0
1.39,2.319
1.906,0
1.398,2.591
1.552,0
2.403,7.241
2.965,0
